RFC,RAZON SOCIAL,SUPUESTO,EJERCICIO,PERIODO,FECHA DE PRIMERA PUBLICACION
MSC960101SR8,MUNICIPIO DE SANTA CATARINA ZAPOQUILA SIN TIPO DE SOCIEDAD,FRACCION VII,2020,12,23/07/2024
MSJ850101GD2,MUNICIPIO DE SAN JUAN COTZOCON SIN TIPO DE SOCIEDAD,FRACCION VII,2020,12,23/07/2024
MSM850101DC5,MUNICIPIO DE SAN MIGUEL DEL RIO SIN TIPO DE SOCIEDAD,FRACCION VII,2020,12,23/07/2024
MCS921222M67,MUNICIPIO DE CARDENAS SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2020,12,23/07/2024
MAP850101PA7,MUNICIPIO DE APULCO ZAC SIN TIPO DE SOCIEDAD,FRACCION VII,2020,12,23/07/2024
MZA850101LF7,MUNICIPIO DE ZACUALPAN SIN TIPO DE SOCIEDAD,FRACCION VII,2021,1,23/07/2024
MTM850101U16,MUNICIPIO DE TINGAMBATO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2021,1,23/07/2024
MSC850101DE2,MUNICIPIO DE SANTA CATARINA TICUA SIN TIPO DE SOCIEDAD,FRACCION VII,2021,1,23/07/2024
MUH8501013N8,MUNICIPIO DE UNION HIDALGO SIN TIPO DE SOCIEDAD,FRACCION VII,2021,1,23/07/2024
MCS921222M67,MUNICIPIO DE CARDENAS SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2021,1,23/07/2024
ITS021201J65,INSTITUTO TECNOLOGICO SUPERIOR DE LORETO SIN TIPO DE SOCIEDAD,FRACCION VII,2021,1,23/07/2024
MZA850101LF7,MUNICIPIO DE ZACUALPAN SIN TIPO DE SOCIEDAD,FRACCION VII,2021,2,23/07/2024
MAM850101N93,MUNICIPIO DE APORO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2021,2,23/07/2024
MTM850101U16,MUNICIPIO DE TINGAMBATO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2021,2,23/07/2024
MSC850101DE2,MUNICIPIO DE SANTA CATARINA TICUA SIN TIPO DE SOCIEDAD,FRACCION VII,2021,2,23/07/2024
MUH8501013N8,MUNICIPIO DE UNION HIDALGO SIN TIPO DE SOCIEDAD,FRACCION VII,2021,2,23/07/2024
MCS921222M67,MUNICIPIO DE CARDENAS SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2021,2,23/07/2024
MZA850101LF7,MUNICIPIO DE ZACUALPAN SIN TIPO DE SOCIEDAD,FRACCION VII,2021,3,23/07/2024
MAM850101N93,MUNICIPIO DE APORO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2021,3,23/07/2024
MTM850101U16,MUNICIPIO DE TINGAMBATO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2021,3,23/07/2024
MCO8501016Z3,MUNICIPIO DE COSOLAPA OAXACA SIN TIPO DE SOCIEDAD,FRACCION VII,2021,3,23/07/2024
MSC850101DE2,MUNICIPIO DE SANTA CATARINA TICUA SIN TIPO DE SOCIEDAD,FRACCION VII,2021,3,23/07/2024
MSC960101SR8,MUNICIPIO DE SANTA CATARINA ZAPOQUILA SIN TIPO DE SOCIEDAD,FRACCION VII,2021,3,23/07/2024
MUH8501013N8,MUNICIPIO DE UNION HIDALGO SIN TIPO DE SOCIEDAD,FRACCION VII,2021,3,23/07/2024
MCM850101RUA,MUNICIPIO DE CIUDAD DEL MAIZ SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2021,3,23/07/2024
MCS921222M67,MUNICIPIO DE CARDENAS SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2021,3,23/07/2024
MZA850101LF7,MUNICIPIO DE ZACUALPAN SIN TIPO DE SOCIEDAD,FRACCION VII,2021,4,23/07/2024
MAM850101N93,MUNICIPIO DE APORO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2021,4,23/07/2024
MTM850101U16,MUNICIPIO DE TINGAMBATO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2021,4,23/07/2024
MSC850101DE2,MUNICIPIO DE SANTA CATARINA TICUA SIN TIPO DE SOCIEDAD,FRACCION VII,2021,4,23/07/2024
MSC960101SR8,MUNICIPIO DE SANTA CATARINA ZAPOQUILA SIN TIPO DE SOCIEDAD,FRACCION VII,2021,4,23/07/2024
MUH8501013N8,MUNICIPIO DE UNION HIDALGO SIN TIPO DE SOCIEDAD,FRACCION VII,2021,4,23/07/2024
MCM850101RUA,MUNICIPIO DE CIUDAD DEL MAIZ SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2021,4,23/07/2024
MCS921222M67,MUNICIPIO DE CARDENAS SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2021,4,23/07/2024
MZA850101LF7,MUNICIPIO DE ZACUALPAN SIN TIPO DE SOCIEDAD,FRACCION VII,2021,5,23/07/2024
MTM850101U16,MUNICIPIO DE TINGAMBATO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2021,5,23/07/2024
MCO8501016Z3,MUNICIPIO DE COSOLAPA OAXACA SIN TIPO DE SOCIEDAD,FRACCION VII,2021,5,23/07/2024
MSC960101SR8,MUNICIPIO DE SANTA CATARINA ZAPOQUILA SIN TIPO DE SOCIEDAD,FRACCION VII,2021,5,23/07/2024
